,Actual,Predicted,,,,,,,,,,,,,,,,
15852,64,66.36366,,,,24640,2012,10,23,15,64,0,20,1013,SE,7.15,0,0
15853,69,70.07977,,,,24641,2012,10,23,16,69,1,19,1012,SE,10.28,0,0
15854,41,75.7937,,,,24642,2012,10,23,17,41,2,17,1012,cv,1.79,0,0
15855,57,48.213924,,,,24643,2012,10,23,18,57,7,13,1013,SE,0.89,0,0
15856,83,71.18811,,,,24644,2012,10,23,19,83,7,11,1013,cv,0.89,0,0
15857,125,97.208115,,,,24645,2012,10,23,20,125,7,9,1013,NE,0.89,0,0
15858,162,134.4924,,,,24646,2012,10,23,21,162,6,8,1013,NE,1.78,0,0
15859,167,163.07323,,,,24647,2012,10,23,22,167,7,8,1013,NE,2.67,0,0
15860,185,160.7909,,,,24648,2012,10,23,23,185,7,7,1013,NW,1.79,0,0
15861,177,180.68054,,,,24649,2012,10,24,0,177,6,7,1013,cv,0.89,0,0
15862,154,177.97264,,,,24650,2012,10,24,1,154,6,7,1013,cv,1.34,0,0
15863,154,154.65068,,,,24651,2012,10,24,2,154,5,6,1013,NW,1.79,0,0
15864,149,156.37836,,,,24652,2012,10,24,3,149,5,6,1012,cv,0.45,0,0
15865,132,152.60727,,,,24653,2012,10,24,4,132,5,5,1012,NW,1.79,0,0
15866,129,131.76859,,,,24654,2012,10,24,5,129,5,5,1012,NW,3.58,0,0
15867,108,128.77165,,,,24655,2012,10,24,6,108,4,5,1012,cv,0.89,0,0
15868,123,108.895996,,,,24656,2012,10,24,7,123,4,4,1012,cv,1.78,0,0
15869,119,129.606,,,,24657,2012,10,24,8,119,7,8,1012,NW,1.79,0,0
15870,88,122.36863,,,,24658,2012,10,24,9,88,7,12,1012,NW,3.58,0,0
15871,77,84.17099,,,,24659,2012,10,24,10,77,7,16,1012,cv,0.89,0,0
15872,82,76.99025,,,,24660,2012,10,24,11,82,4,18,1012,cv,1.78,0,0
15873,78,85.759415,,,,24661,2012,10,24,12,78,2,22,1011,cv,4.91,0,0
15874,52,81.801636,,,,24662,2012,10,24,13,52,-5,24,1010,NW,8.05,0,0
15875,42,50.524307,,,,24663,2012,10,24,14,42,-5,25,1009,NW,13.86,0,0
15876,24,42.63556,,,,24664,2012,10,24,15,24,-5,24,1010,NW,21.01,0,0
15877,31,25.345686,,,,24665,2012,10,24,16,31,-5,24,1009,NW,28.16,0,0
15878,94,34.018387,,,,24666,2012,10,24,17,94,-3,22,1010,NW,33.08,0,0
15879,116,98.63026,,,,24667,2012,10,24,18,116,3,20,1011,SE,4.92,0,0
15880,120,124.19096,,,,24668,2012,10,24,19,120,4,19,1011,SE,8.94,0,0
15881,137,125.396126,,,,24669,2012,10,24,20,137,6,15,1012,cv,0.89,0,0
15882,129,148.5001,,,,24670,2012,10,24,21,129,8,11,1013,cv,1.78,0,0
15883,122,139.86334,,,,24671,2012,10,24,22,122,7,9,1014,NE,0.89,0,0
15884,174,127.252464,,,,24672,2012,10,24,23,174,8,10,1014,cv,0.89,0,0
15885,174,182.77881,,,,24673,2012,10,25,0,174,6,7,1014,NW,1.79,0,0
15886,178,174.2659,,,,24674,2012,10,25,1,178,7,8,1015,cv,0.89,0,0
15887,202,181.78606,,,,24675,2012,10,25,2,202,7,7,1015,cv,1.78,0,0
15888,191,209.38698,,,,24676,2012,10,25,3,191,6,6,1015,NW,3.13,0,0
15889,89,191.9412,,,,24677,2012,10,25,4,89,5,7,1015,NW,4.92,0,0
15890,42,77.06287,,,,24678,2012,10,25,5,42,5,6,1015,NW,6.71,0,0
15891,35,37.59288,,,,24679,2012,10,25,6,35,5,6,1016,cv,0.89,0,0
15892,50,39.14117,,,,24680,2012,10,25,7,50,5,6,1017,cv,1.78,0,0
15893,55,57.530273,,,,24681,2012,10,25,8,55,6,9,1017,NW,3.13,0,0
15894,33,60.024876,,,,24682,2012,10,25,9,33,7,13,1018,cv,0.89,0,0
15895,67,33.999065,,,,24683,2012,10,25,10,67,6,16,1018,cv,1.78,0,0
15896,131,74.30394,,,,24684,2012,10,25,11,131,7,17,1018,SE,1.79,0,0
15897,164,143.9926,,,,24685,2012,10,25,12,164,7,19,1018,SE,3.58,0,0
15898,230,170.43652,,,,24686,2012,10,25,13,230,7,19,1017,SE,5.37,0,0
15899,275,238.77463,,,,24687,2012,10,25,14,275,8,20,1016,SE,7.16,0,0
15900,236,281.71033,,,,24688,2012,10,25,15,236,8,20,1016,SE,8.95,0,0
15901,220,230.00165,,,,24689,2012,10,25,16,220,9,20,1016,SE,9.84,0,0
15902,252,216.67197,,,,24690,2012,10,25,17,252,11,15,1016,cv,0.89,0,0
15903,331,264.93332,,,,24691,2012,10,25,18,331,11,13,1017,cv,1.34,0,0
15904,338,351.30905,,,,24692,2012,10,25,19,338,11,12,1017,cv,2.23,0,0
15905,338,345.09375,,,,24693,2012,10,25,20,338,10,11,1018,cv,2.68,0,0
15906,367,339.90335,,,,24694,2012,10,25,21,367,9,10,1018,SE,0.89,0,0
15907,301,372.32092,,,,24695,2012,10,25,22,301,10,13,1019,SE,2.68,0,0
15908,293,288.08633,,,,24696,2012,10,25,23,293,10,12,1019,cv,0.89,0,0
15909,293,290.80533,,,,24697,2012,10,26,0,293,11,12,1019,cv,1.78,0,0
15910,249,295.7321,,,,24698,2012,10,26,1,249,12,13,1019,cv,2.67,0,0
15911,226,244.61002,,,,24699,2012,10,26,2,226,12,12,1019,cv,3.56,0,0
15912,235,226.51013,,,,24700,2012,10,26,3,235,12,12,1019,SE,1.79,0,0
15913,237,238.98291,,,,24701,2012,10,26,4,237,12,12,1019,cv,0.89,0,0
15914,259,241.67612,,,,24702,2012,10,26,5,259,12,12,1020,SE,1.79,0,0
15915,248,263.2496,,,,24703,2012,10,26,6,248,12,12,1020,cv,0.89,0,0
15916,240,249.89534,,,,24704,2012,10,26,7,240,12,12,1020,cv,1.78,0,0
15917,253,241.97841,,,,24705,2012,10,26,8,253,12,12,1020,SE,3.13,0,0
15918,271,257.28564,,,,24706,2012,10,26,9,271,12,12,1021,SE,4.92,0,0
15919,283,274.18008,,,,24707,2012,10,26,10,283,11,12,1020,SE,6.71,0,1
15920,283,282.75314,,,,24708,2012,10,26,11,283,12,12,1020,NE,1.79,0,0
15921,288,277.8811,,,,24709,2012,10,26,12,288,12,13,1019,cv,0.89,0,0
15922,288,288.91144,,,,24710,2012,10,26,13,288,11,13,1018,SE,1.79,0,0
15923,293,285.65637,,,,24711,2012,10,26,14,293,12,14,1017,cv,0.89,0,0
15924,293,296.7712,,,,24712,2012,10,26,15,293,12,15,1017,cv,1.78,0,0
15925,296,295.41968,,,,24713,2012,10,26,16,296,11,15,1017,cv,2.67,0,0
15926,308,299.36798,,,,24714,2012,10,26,17,308,12,14,1017,cv,3.12,0,0
15927,317,315.0238,,,,24715,2012,10,26,18,317,11,13,1017,NW,0.89,0,0
15928,329,318.934,,,,24716,2012,10,26,19,329,12,13,1017,NW,2.68,0,0
15929,313,326.3882,,,,24717,2012,10,26,20,313,12,14,1017,NW,5.81,0,0
15930,307,302.8367,,,,24718,2012,10,26,21,307,12,14,1017,NW,7.6,0,0
15931,309,297.42773,,,,24719,2012,10,26,22,309,12,15,1017,NW,9.39,0,0
15932,299,300.2533,,,,24720,2012,10,26,23,299,12,14,1017,NW,12.52,0,1
15933,304,289.48413,,,,24721,2012,10,27,0,304,12,14,1016,NW,15.65,0,0
15934,297,297.0244,,,,24722,2012,10,27,1,297,11,13,1016,NW,17.44,0,0
15935,281,288.5305,,,,24723,2012,10,27,2,281,11,13,1015,NE,0.89,0,0
15936,272,269.49063,,,,24724,2012,10,27,3,272,11,12,1015,NW,0.89,0,0
15937,275,262.54483,,,,24725,2012,10,27,4,275,10,11,1015,cv,0.45,0,0
15938,260,275.51068,,,,24726,2012,10,27,5,260,8,9,1015,NW,0.89,0,0
15939,246,255.24863,,,,24727,2012,10,27,6,246,9,9,1016,NW,2.68,0,0
15940,241,240.47575,,,,24728,2012,10,27,7,241,8,9,1016,NW,5.81,0,0
15941,239,233.06989,,,,24729,2012,10,27,8,239,10,10,1016,SE,0.89,0,0
15942,250,236.00487,,,,24730,2012,10,27,9,250,12,12,1017,cv,0.45,0,0
15943,248,253.50493,,,,24731,2012,10,27,10,248,10,16,1016,cv,2.24,0,0
15944,222,247.96571,,,,24732,2012,10,27,11,222,9,18,1016,NW,1.79,0,0
15945,232,215.42145,,,,24733,2012,10,27,12,232,6,21,1015,NW,6.71,0,0
15946,166,224.08087,,,,24734,2012,10,27,13,166,2,22,1015,NW,14.76,0,0
15947,105,148.61047,,,,24735,2012,10,27,14,105,2,22,1014,NW,21.91,0,0
15948,34,93.94321,,,,24736,2012,10,27,15,34,0,22,1015,NW,31.74,0,0
15949,27,26.550957,,,,24737,2012,10,27,16,27,-2,22,1016,NW,40.68,0,0
15950,20,25.393696,,,,24738,2012,10,27,17,20,-3,20,1017,NW,45.6,0,0
15951,15,21.216158,,,,24739,2012,10,27,18,15,-3,19,1018,NW,49.62,0,0
15952,20,17.174234,,,,24740,2012,10,27,19,20,-5,17,1019,NW,53.64,0,0
15953,19,22.064762,,,,24741,2012,10,27,20,19,-10,16,1020,NW,60.79,0,0
15954,6,18.039492,,,,24742,2012,10,27,21,6,-11,15,1022,NW,67.94,0,0
15955,12,5.237102,,,,24743,2012,10,27,22,12,-9,13,1023,NW,75.09,0,0
15956,11,15.44131,,,,24744,2012,10,27,23,11,-7,11,1024,NW,76.88,0,0
15957,11,15.2825,,,,24745,2012,10,28,0,11,-5,9,1024,NW,80.01,0,0
15958,7,15.78859,,,,24746,2012,10,28,1,7,-3,9,1025,NW,84.93,0,0
15959,13,10.130563,,,,24747,2012,10,28,2,13,-3,8,1025,NW,88.06,0,0
15960,7,15.970104,,,,24748,2012,10,28,3,7,-2,6,1026,NW,91.19,0,0
15961,11,9.910243,,,,24749,2012,10,28,4,11,-3,9,1026,NE,4.02,0,0
15962,13,11.397023,,,,24750,2012,10,28,5,13,-3,8,1027,NE,8.04,0,0
15963,13,13.465144,,,,24751,2012,10,28,6,13,-2,7,1027,NE,11.17,0,0
15964,13,14.523966,,,,24752,2012,10,28,7,13,-1,8,1028,NE,12.96,0,0
15965,20,13.248102,,,,24753,2012,10,28,8,20,-2,10,1029,NE,16.98,0,0
15966,18,17.800053,,,,24754,2012,10,28,9,18,-4,12,1029,NE,21,0,0
15967,9,14.52828,,,,24755,2012,10,28,10,9,-4,13,1029,NE,25.02,0,0
15968,8,6.9883857,,,,24756,2012,10,28,11,8,-4,14,1028,SE,1.79,0,0
15969,11,10.415011,,,,24757,2012,10,28,12,11,-6,15,1027,cv,1.79,0,0
15970,16,15.574098,,,,24758,2012,10,28,13,16,-5,15,1026,SE,3.13,0,0
15971,23,21.83692,,,,24759,2012,10,28,14,23,-4,15,1025,SE,7.15,0,0
15972,27,29.747671,,,,24760,2012,10,28,15,27,-4,15,1025,SE,11.17,0,0
15973,26,31.52635,,,,24761,2012,10,28,16,26,-3,14,1024,SE,15.19,0,0
15974,38,31.350449,,,,24762,2012,10,28,17,38,-1,12,1024,SE,18.32,0,0
15975,52,45.73234,,,,24763,2012,10,28,18,52,-1,11,1024,SE,21.45,0,0
15976,57,58.121582,,,,24764,2012,10,28,19,57,1,11,1025,SE,25.47,0,0
15977,54,61.062958,,,,24765,2012,10,28,20,54,3,11,1025,SE,29.49,0,0
15978,57,57.555473,,,,24766,2012,10,28,21,57,4,10,1025,SE,32.62,0,0
15979,46,61.479424,,,,24767,2012,10,28,22,46,5,10,1025,SE,34.41,0,0
15980,41,48.500744,,,,24768,2012,10,28,23,41,5,10,1025,cv,0.89,0,0
15981,40,45.61321,,,,24769,2012,10,29,0,40,5,9,1025,NE,0.89,0,0
15982,39,44.607788,,,,24770,2012,10,29,1,39,5,9,1025,SE,1.79,0,0
15983,41,41.91307,,,,24771,2012,10,29,2,41,4,9,1024,SE,3.58,0,0
15984,42,43.432076,,,,24772,2012,10,29,3,42,4,9,1024,cv,0.89,0,0
15985,43,47.341835,,,,24773,2012,10,29,4,43,4,9,1024,cv,1.78,0,0
15986,48,48.89456,,,,24774,2012,10,29,5,48,4,9,1023,SE,1.79,0,0
15987,53,54.1094,,,,24775,2012,10,29,6,53,4,9,1023,SE,4.92,0,0
15988,55,57.680588,,,,24776,2012,10,29,7,55,4,10,1023,SE,6.71,0,0
15989,58,57.633923,,,,24777,2012,10,29,8,58,4,10,1024,cv,0.89,0,0
15990,58,62.66894,,,,24778,2012,10,29,9,58,4,10,1024,cv,1.78,0,0
15991,68,63.344215,,,,24779,2012,10,29,10,68,3,11,1024,cv,2.67,0,0
15992,80,74.00818,,,,24780,2012,10,29,11,80,4,12,1023,NE,1.79,0,0
15993,67,85.2959,,,,24781,2012,10,29,12,67,5,14,1022,cv,0.89,0,0
15994,65,70.08787,,,,24782,2012,10,29,13,65,5,15,1022,cv,1.78,0,0
15995,66,69.020294,,,,24783,2012,10,29,14,66,5,15,1021,cv,2.67,0,0
15996,53,73.4697,,,,24784,2012,10,29,15,53,-6,16,1021,NW,8.05,0,0
15997,9,49.548935,,,,24785,2012,10,29,16,9,4,15,1022,NE,1.79,0,0
15998,10,11.996182,,,,24786,2012,10,29,17,10,4,13,1023,NW,3.13,0,0
15999,11,14.359567,,,,24787,2012,10,29,18,11,-4,11,1025,NW,7.15,0,0
16000,11,9.022513,,,,24788,2012,10,29,19,11,-7,10,1027,NW,12.07,0,0
16001,10,9.18546,,,,24789,2012,10,29,20,10,-6,7,1028,NW,16.09,0,0
16002,9,12.733149,,,,24790,2012,10,29,21,9,-7,7,1029,NW,17.88,0,0
16003,8,10.330834,,,,24791,2012,10,29,22,8,-9,9,1029,NW,25.03,0,0
16004,9,6.8945336,,,,24792,2012,10,29,23,9,-11,9,1029,NW,30.84,0,0
16005,8,8.726329,,,,24793,2012,10,30,0,8,-14,9,1029,NW,38.89,0,0
16006,11,7.601794,,,,24794,2012,10,30,1,11,-14,7,1029,NW,43.81,0,0
16007,11,13.283074,,,,24795,2012,10,30,2,11,-13,6,1029,NW,47.83,0,0
16008,10,14.148694,,,,24796,2012,10,30,3,10,-10,2,1028,NW,51.85,0,0
16009,12,16.389894,,,,24797,2012,10,30,4,12,-4,1,1027,cv,0.89,0,0
16010,16,23.2958,,,,24798,2012,10,30,5,16,-6,1,1027,cv,1.78,0,0
16011,17,21.519205,,,,24799,2012,10,30,6,17,-4,1,1027,cv,2.23,0,0
16012,25,22.437021,,,,24800,2012,10,30,7,25,-4,0,1026,cv,3.12,0,0
16013,29,32.189148,,,,24801,2012,10,30,8,29,-3,5,1027,SE,1.79,0,0
16014,27,30.014334,,,,24802,2012,10,30,9,27,-7,8,1026,cv,0.89,0,0
16015,24,26.679743,,,,24803,2012,10,30,10,24,-11,11,1025,SE,4.92,0,0
16016,0,22.256369,,,,24804,2012,10,30,11,NA,-12,11,1024,SE,10.73,0,0
16017,15,0.88316154,,,,24805,2012,10,30,12,15,-12,12,1022,SE,16.54,0,0
16018,49,20.546112,,,,24806,2012,10,30,13,49,-8,12,1020,SE,21.46,0,0
16019,37,58.55686,,,,24807,2012,10,30,14,37,-8,12,1020,SE,27.27,0,0
16020,48,40.81263,,,,24808,2012,10,30,15,48,-9,13,1018,SE,34.42,0,0
16021,40,51.67693,,,,24809,2012,10,30,16,40,-8,12,1018,SE,40.23,0,0
16022,48,43.769623,,,,24810,2012,10,30,17,48,-5,11,1018,SE,45.15,0,0
16023,62,54.55823,,,,24811,2012,10,30,18,62,-4,11,1018,SE,49.17,0,0
16024,68,67.699844,,,,24812,2012,10,30,19,68,-4,11,1019,NW,4.02,0,0
16025,88,70.228584,,,,24813,2012,10,30,20,88,-8,11,1020,NW,9.83,0,0
16026,57,86.221306,,,,24814,2012,10,30,21,57,-3,6,1021,NW,13.85,0,0
16027,10,58.762566,,,,24815,2012,10,30,22,10,-13,10,1022,NW,21.9,0,0
16028,8,1.7698121,,,,24816,2012,10,30,23,8,-12,10,1022,NW,27.71,0,0
16029,7,6.616572,,,,24817,2012,10,31,0,7,-12,9,1022,NW,33.52,0,0
16030,5,10.2442665,,,,24818,2012,10,31,1,5,-12,9,1022,NW,41.57,0,0
16031,6,7.6732326,,,,24819,2012,10,31,2,6,-8,5,1023,NE,0.89,0,0
16032,10,12.664371,,,,24820,2012,10,31,3,10,-4,2,1022,NE,1.78,0,0
16033,13,18.096365,,,,24821,2012,10,31,4,13,-7,4,1022,NW,1.79,0,0
16034,11,14.209466,,,,24822,2012,10,31,5,11,-4,1,1022,NE,0.89,0,0
16035,16,14.730503,,,,24823,2012,10,31,6,16,-5,2,1022,cv,0.89,0,0
16036,28,22.399527,,,,24824,2012,10,31,7,28,-2,1,1023,cv,1.78,0,0
16037,34,35.418217,,,,24825,2012,10,31,8,34,1,4,1023,NW,0.89,0,0
16038,15,39.40293,,,,24826,2012,10,31,9,15,-7,10,1023,NW,2.68,0,0
16039,16,8.476776,,,,24827,2012,10,31,10,16,-9,11,1023,NW,6.7,0,0
16040,11,12.835033,,,,24828,2012,10,31,11,11,-11,12,1022,cv,4.02,0,0
16041,10,14.576946,,,,24829,2012,10,31,12,10,-12,13,1020,NW,4.02,0,0
16042,12,13.49526,,,,24830,2012,10,31,13,12,-15,14,1019,NW,11.17,0,0
16043,11,14.462264,,,,24831,2012,10,31,14,11,-15,15,1018,NW,16.98,0,0
16044,10,12.760212,,,,24832,2012,10,31,15,10,-14,15,1017,NW,21.9,0,0
16045,13,13.598951,,,,24833,2012,10,31,16,13,-15,16,1017,NW,27.71,0,0
16046,11,15.014092,,,,24834,2012,10,31,17,11,-12,13,1017,cv,0.89,0,0
16047,38,20.315893,,,,24835,2012,10,31,18,38,-3,8,1018,cv,1.78,0,0
16048,65,56.05813,,,,24836,2012,10,31,19,65,-3,7,1019,cv,2.67,0,0
16049,79,78.2076,,,,24837,2012,10,31,20,79,-1,5,1019,cv,3.56,0,0
16050,78,89.43426,,,,24838,2012,10,31,21,78,-1,4,1019,cv,4.45,0,0
16051,76,85.03285,,,,24839,2012,10,31,22,76,0,4,1019,SE,0.89,0,0
16052,91,80.394,,,,24840,2012,10,31,23,91,-2,1,1019,NE,1.79,0,0
16053,124,94.9891,,,,24841,2012,11,1,0,124,0,2,1019,NE,2.68,0,0
16054,135,123.65842,,,,24842,2012,11,1,1,135,-1,1,1020,cv,0.45,0,0
16055,121,138.50867,,,,24843,2012,11,1,2,121,-1,1,1020,cv,1.34,0,0
16056,102,121.4823,,,,24844,2012,11,1,3,102,-1,1,1020,NW,1.79,0,0
16057,78,101.07391,,,,24845,2012,11,1,4,78,-3,-1,1019,NW,4.92,0,0
16058,70,76.2404,,,,24846,2012,11,1,5,70,-1,0,1019,cv,0.89,0,0
16059,49,72.77045,,,,24847,2012,11,1,6,49,-1,0,1020,NW,1.79,0,0
16060,26,48.548428,,,,24848,2012,11,1,7,26,-1,1,1020,cv,0.89,0,0
16061,45,27.314135,,,,24849,2012,11,1,8,45,0,3,1021,NW,1.79,0,0
16062,57,47.442265,,,,24850,2012,11,1,9,57,0,8,1021,NW,4.92,0,0
16063,99,56.699997,,,,24851,2012,11,1,10,99,-5,12,1020,NW,6.71,0,0
16064,85,94.850266,,,,24852,2012,11,1,11,85,-5,13,1020,cv,1.79,0,0
16065,77,84.86776,,,,24853,2012,11,1,12,77,-5,14,1019,cv,3.58,0,0
16066,93,79.70938,,,,24854,2012,11,1,13,93,-5,15,1018,cv,5.37,0,0
16067,81,100.26333,,,,24855,2012,11,1,14,81,-5,16,1018,SE,3.13,0,0
16068,64,83.0754,,,,24856,2012,11,1,15,64,-5,16,1017,SE,6.26,0,0
16069,77,65.81436,,,,24857,2012,11,1,16,77,-6,15,1017,SE,10.28,0,0
16070,82,80.84544,,,,24858,2012,11,1,17,82,-3,13,1017,SE,12.07,0,0
16071,90,88.062675,,,,24859,2012,11,1,18,90,1,9,1018,cv,0.89,0,0
16072,115,101.44683,,,,24860,2012,11,1,19,115,2,7,1019,SE,0.89,0,0
16073,130,124.16345,,,,24861,2012,11,1,20,130,1,5,1019,SE,2.68,0,0
16074,134,135.4706,,,,24862,2012,11,1,21,134,0,9,1019,SE,5.81,0,0
16075,173,132.1492,,,,24863,2012,11,1,22,173,1,9,1020,SE,10.73,0,0
16076,172,176.04485,,,,24864,2012,11,1,23,172,4,8,1020,SE,13.86,0,0
16077,157,174.77588,,,,24865,2012,11,2,0,157,2,5,1020,cv,0.89,0,0
16078,141,159.2629,,,,24866,2012,11,2,1,141,2,3,1020,NW,3.13,0,0
16079,124,140.09445,,,,24867,2012,11,2,2,124,2,3,1020,NW,6.26,0,0
16080,124,121.16002,,,,24868,2012,11,2,3,124,3,4,1020,cv,0.89,0,0
16081,126,125.77514,,,,24869,2012,11,2,4,126,2,3,1020,NW,1.79,0,0
16082,136,125.63911,,,,24870,2012,11,2,5,136,2,4,1020,NW,3.58,0,0
16083,139,135.15091,,,,24871,2012,11,2,6,139,2,4,1020,NW,4.47,0,0
16084,144,135.78041,,,,24872,2012,11,2,7,144,2,4,1021,NW,6.26,0,0
16085,148,140.38556,,,,24873,2012,11,2,8,148,3,5,1021,NW,9.39,0,0
16086,141,144.35313,,,,24874,2012,11,2,9,141,4,8,1021,NW,11.18,0,0
16087,123,135.36955,,,,24875,2012,11,2,10,123,3,10,1021,NW,14.31,0,0
16088,134,115.50179,,,,24876,2012,11,2,11,134,5,11,1020,SE,1.79,0,0
16089,147,134.0939,,,,24877,2012,11,2,12,147,5,13,1020,cv,0.89,0,0
16090,170,150.73294,,,,24878,2012,11,2,13,170,5,13,1019,SE,3.13,0,0
16091,175,174.89671,,,,24879,2012,11,2,14,175,5,14,1018,SE,4.92,0,0
16092,181,177.13263,,,,24880,2012,11,2,15,181,5,14,1018,SE,6.71,0,0
16093,164,181.61914,,,,24881,2012,11,2,16,164,5,14,1018,cv,0.89,0,0
16094,176,164.84123,,,,24882,2012,11,2,17,176,7,11,1019,cv,1.34,0,0
16095,190,184.88881,,,,24883,2012,11,2,18,190,6,8,1019,NE,0.89,0,0
16096,204,195.06186,,,,24884,2012,11,2,19,204,7,9,1020,cv,0.89,0,0
16097,196,208.24318,,,,24885,2012,11,2,20,196,6,8,1020,NW,1.79,0,0
16098,214,191.57764,,,,24886,2012,11,2,21,214,6,7,1021,cv,0.89,0,0
16099,208,218.80743,,,,24887,2012,11,2,22,208,6,7,1021,SE,0.89,0,0
16100,209,206.755,,,,24888,2012,11,2,23,209,6,8,1021,cv,0.45,0,0
16101,228,210.92996,,,,24889,2012,11,3,0,228,7,8,1021,cv,1.34,0,0
16102,212,234.22531,,,,24890,2012,11,3,1,212,7,8,1021,cv,1.79,0,0
16103,206,213.57533,,,,24891,2012,11,3,2,206,6,7,1020,SE,0.89,0,0
16104,199,206.57559,,,,24892,2012,11,3,3,199,5,6,1020,SE,1.78,0,0
16105,210,198.20866,,,,24893,2012,11,3,4,210,6,7,1020,cv,0.89,0,0
16106,194,213.35898,,,,24894,2012,11,3,5,194,7,7,1020,NE,0.89,0,0
16107,196,190.95486,,,,24895,2012,11,3,6,196,7,8,1019,cv,0.45,0,0
16108,194,197.50662,,,,24896,2012,11,3,7,194,7,8,1020,SE,0.89,0,0
16109,194,192.21045,,,,24897,2012,11,3,8,194,8,9,1020,cv,0.89,0,0
16110,192,197.06026,,,,24898,2012,11,3,9,192,8,11,1020,SE,4.02,0,0
16111,199,191.16728,,,,24899,2012,11,3,10,199,8,11,1020,SE,8.04,0,0
16112,205,200.12862,,,,24900,2012,11,3,11,205,8,12,1019,SE,12.06,0,0
16113,208,205.17334,,,,24901,2012,11,3,12,208,8,11,1018,SE,13.85,0,1
16114,207,208.26588,,,,24902,2012,11,3,13,207,9,10,1017,cv,0.89,0,2
16115,190,210.60089,,,,24903,2012,11,3,14,190,9,10,1016,cv,1.34,0,3
16116,162,190.24599,,,,24904,2012,11,3,15,162,9,10,1015,NW,3.13,0,4
16117,156,157.3107,,,,24905,2012,11,3,16,156,9,10,1015,NW,8.05,0,5
16118,154,149.50426,,,,24906,2012,11,3,17,154,9,9,1014,NW,12.97,0,6
16119,14,146.26831,,,,24907,2012,11,3,18,14,5,7,1014,NW,21.02,0,7
16120,12,-2.857017,,,,24908,2012,11,3,19,12,4,5,1013,NW,30.85,0,9
16121,9,5.6412086,,,,24909,2012,11,3,20,9,3,5,1013,NW,42.92,0,10
16122,10,3.2526498,,,,24910,2012,11,3,21,10,3,4,1013,NW,51.86,0,11
16123,7,3.7044654,,,,24911,2012,11,3,22,7,2,3,1012,NW,63.04,0,12
16124,12,0.18451235,,,,24912,2012,11,3,23,12,2,3,1012,NW,72.87,0,13
16125,14,3.7931566,,,,24913,2012,11,4,0,14,2,3,1011,NW,80.92,0,14
16126,11,5.0641127,,,,24914,2012,11,4,1,11,2,2,1011,NW,88.97,0,15
16127,10,1.2917924,,,,24915,2012,11,4,2,10,1,2,1009,NW,101.93,0,17
16128,7,-1.3196454,,,,24916,2012,11,4,3,7,1,2,1009,NW,113.11,0,18
16129,6,-5.5710235,,,,24917,2012,11,4,4,6,2,2,1008,NW,124.29,0,19
16130,8,-6.511088,,,,24918,2012,11,4,5,8,2,3,1008,NW,128.31,0,20
16131,8,-6.379887,,,,24919,2012,11,4,6,8,2,3,1008,NW,134.12,0,21
16132,11,-7.4189363,,,,24920,2012,11,4,7,11,2,3,1008,NW,138.14,0,22
16133,14,-5.24959,,,,24921,2012,11,4,8,14,2,3,1010,NW,139.93,0,23
16134,15,-4.533945,,,,24922,2012,11,4,9,15,2,3,1010,NW,143.06,0,24
16135,27,-4.3122735,,,,24923,2012,11,4,10,27,2,3,1010,NW,147.08,0,25
16136,22,6.7705493,,,,24924,2012,11,4,11,22,3,4,1011,NW,150.21,0,26
16137,27,-0.26156402,,,,24925,2012,11,4,12,27,2,4,1011,NW,158.26,0,27
16138,29,3.4693825,,,,24926,2012,11,4,13,29,2,4,1011,NW,167.2,0,28
16139,27,4.7246814,,,,24927,2012,11,4,14,27,1,4,1011,NW,178.38,0,29
16140,26,1.2592026,,,,24928,2012,11,4,15,26,1,4,1012,NW,189.56,0,30
16141,23,-1.0354412,,,,24929,2012,11,4,16,23,0,4,1013,NW,200.74,0,31
16142,25,-5.6642227,,,,24930,2012,11,4,17,25,0,4,1013,NW,208.79,0,32
16143,25,-4.000759,,,,24931,2012,11,4,18,25,0,4,1014,NW,217.73,0,0
16144,30,23.802603,,,,24932,2012,11,4,19,30,0,5,1015,NW,226.67,0,1
16145,27,25.376215,,,,24933,2012,11,4,20,27,0,5,1016,NW,235.61,0,0
16146,29,28.457764,,,,24934,2012,11,4,21,29,-1,5,1017,NW,244.55,0,0
16147,22,29.886929,,,,24935,2012,11,4,22,22,-1,4,1017,NW,253.49,0,0
16148,22,24.063875,,,,24936,2012,11,4,23,22,-2,4,1017,NW,261.54,0,0
16149,25,23.90136,,,,24937,2012,11,5,0,25,-2,4,1017,NW,271.37,0,0
16150,21,27.15522,,,,24938,2012,11,5,1,21,-3,5,1018,NW,280.31,0,0
16151,17,21.369268,,,,24939,2012,11,5,2,17,-3,5,1018,NW,289.25,0,0
16152,17,18.308899,,,,24940,2012,11,5,3,17,-4,5,1018,NW,299.08,0,0
16153,15,18.638689,,,,24941,2012,11,5,4,15,-4,4,1017,NW,308.91,0,0
16154,14,18.079721,,,,24942,2012,11,5,5,14,-4,4,1018,NW,316.96,0,0
16155,19,16.323523,,,,24943,2012,11,5,6,19,-4,5,1018,NW,325.9,0,0
16156,16,20.789251,,,,24944,2012,11,5,7,16,-4,5,1019,NW,330.82,0,0
16157,19,17.37458,,,,24945,2012,11,5,8,19,-4,6,1019,NW,337.97,0,0
16158,22,20.403906,,,,24946,2012,11,5,9,22,-4,7,1020,NW,346.02,0,0
